Year   Temperature
1400  -0.2197
1401  -0.1721
1402   0.0329
1403   0.0632
1404  -0.0697
1405   0.1279
1406   0.1827
1407   0.0535
1408   0.1505
1409   0.1450
1410   0.0376
1411   0.1501
1412  -0.1189
1413   0.0343
1414  -0.0015
1415   0.1829
1416   0.2484
1417   0.0039
1418   0.1271
1419   0.0661
1420   0.0149
1421  -0.0414
1422  -0.0356
1423   0.0556
1424   0.1214
1425   0.0876
1426   0.1097
1427   0.0487
1428   0.1362
1429   0.0105
1430   0.1965
1431   0.1343
1432   0.1133
1433   0.0750
1434   0.1531
1435   0.1872
1436   0.0371
1437   0.1292
1438  -0.0073
1439  -0.1899
1440  -0.0861
1441   0.1520
1442   0.0255
1443   0.0900
1444   0.1413
1445  -0.1712
1446  -0.0121
1447  -0.0443
1448  -0.1010
1449  -0.2529
1450  -0.0678
1451  -0.0848
1452   0.0634
1453  -0.2160
1454  -0.1250
1455  -0.2243
1456  -0.2417
1457  -0.1459
1458  -0.2962
1459  -0.2659
1460  -0.1562
1461  -0.2473
1462  -0.3546
1463  -0.2859
1464  -0.3474
1465  -0.2600
1466  -0.2347
1467  -0.2465
1468  -0.0878
1469  -0.1343
1470  -0.0648
1471  -0.2361
1472  -0.2878
1473  -0.3346
1474  -0.0715
1475  -0.2562
1476  -0.1725
1477  -0.0596
1478  -0.1652
1479   0.0790
1480   0.0671
1481  -0.0932
1482  -0.0774
1483  -0.1209
1484   0.0603
1485   0.0399
1486  -0.0805
1487  -0.0727
1488   0.1846
1489   0.1401
1490   0.0757
1491   0.1681
1492   0.0454
1493   0.2215
1494   0.0986
1495  -0.0610
1496  -0.0051
1497  -0.1613
1498  -0.0608
1499   0.0255
1500  -0.0028
1501  -0.0936
1502  -0.2317
1503  -0.0764
1504   0.0339
1505   0.0453
1506  -0.0429
1507  -0.1117
1508   0.1877
1509   0.1025
1510   0.0931
1511   0.1039
1512   0.0977
1513  -0.0992
1514  -0.1182
1515  -0.0952
1516  -0.0956
1517  -0.0950
1518  -0.1762
1519  -0.2712
1520  -0.0547
1521  -0.0619
1522  -0.1527
1523  -0.0217
1524  -0.1317
1525   0.0709
1526  -0.0805
1527  -0.0559
1528  -0.1844
1529  -0.1971
1530  -0.1184
1531   0.1077
1532   0.0076
1533  -0.0354
1534  -0.1101
1535  -0.1124
1536  -0.1546
1537  -0.1364
1538  -0.0691
1539  -0.0682
1540  -0.1571
1541  -0.1049
1542   0.0786
1543  -0.2068
1544  -0.2436
1545  -0.1235
1546   0.0450
1547  -0.0399
1548  -0.1082
