Year   Temperature
1400  -0.3303
1401  -0.2834
1402  -0.0944
1403  -0.0820
1404  -0.1900
1405   0.1159
1406   0.2117
1407   0.1351
1408   0.2146
1409   0.1101
1410   0.0486
1411   0.1176
1412  -0.2349
1413  -0.0186
1414  -0.0364
1415   0.2154
1416   0.2696
1417   0.0130
1418   0.2047
1419   0.1332
1420  -0.0730
1421  -0.0104
1422  -0.0322
1423  -0.0125
1424   0.0565
1425   0.0761
1426   0.0369
1427   0.0630
1428   0.1822
1429  -0.0392
1430   0.2286
1431   0.1173
1432   0.1120
1433   0.1134
1434   0.3015
1435   0.2695
1436   0.2648
1437   0.2043
1438   0.0412
1439  -0.2250
1440  -0.1434
1441   0.0803
1442  -0.0241
1443   0.0522
1444   0.1771
1445  -0.1342
1446  -0.1354
1447  -0.0844
1448  -0.2582
1449  -0.3016
1450  -0.1682
1451  -0.2189
1452  -0.0559
1453  -0.2860
1454   0.0591
1455  -0.2817
1456  -0.2330
1457  -0.1924
1458  -0.4151
1459  -0.3892
1460  -0.2472
1461  -0.2907
1462  -0.4079
1463  -0.3700
1464  -0.4054
1465  -0.2011
1466  -0.3903
1467  -0.2843
1468  -0.0922
1469  -0.1894
1470  -0.0530
1471  -0.3437
1472  -0.3285
1473  -0.3177
1474  -0.0549
1475  -0.2733
1476  -0.1784
1477  -0.1444
1478  -0.1521
1479   0.0348
1480   0.0446
1481  -0.1351
1482  -0.0644
1483  -0.2391
1484  -0.0089
1485  -0.0063
1486  -0.2117
1487  -0.1053
1488   0.1128
1489   0.0365
1490   0.0033
1491   0.0500
1492  -0.0181
1493   0.0627
1494   0.0636
1495  -0.0674
1496   0.0414
1497  -0.1907
1498  -0.0636
1499  -0.0160
1500  -0.0648
1501  -0.0437
1502  -0.2245
1503  -0.0446
1504   0.1360
1505   0.1528
1506  -0.1120
1507  -0.0959
1508   0.1243
1509   0.1221
1510   0.1131
1511  -0.0114
1512   0.1778
1513  -0.0016
1514  -0.0168
1515  -0.0537
1516  -0.1629
1517   0.0115
1518  -0.0458
1519  -0.2735
1520  -0.1804
1521  -0.1501
1522  -0.0360
1523  -0.0907
1524  -0.1848
1525  -0.0342
1526  -0.2835
1527  -0.2091
1528  -0.1702
1529  -0.1411
1530  -0.1731
1531  -0.0601
1532   0.0473
1533   0.0931
1534  -0.0769
1535  -0.1188
1536  -0.1009
1537  -0.1036
1538   0.0334
1539  -0.1929
1540  -0.1567
1541  -0.0279
1542   0.1056
1543  -0.2471
1544  -0.2481
1545  -0.0971
1546  -0.0215
1547   0.0613
1548  -0.0170
