Year   Temperature
1700  -0.3926642
1701  -0.3151809
1702  -0.1722660
1703  -0.1892774
1704  -0.2364285
1705  -0.3622435
1706  -0.2691450
1707  -0.1454790
1708  -0.1721303
1709  -0.1956713
1710  -0.1762818
1711  -0.2370218
1712  -0.2553338
1713  -0.2108757
1714  -0.2644575
1715  -0.1870806
1716  -0.2571694
1717  -0.2410663
1718  -0.1454247
1719  -0.1613451
1720  -0.0842017
1721  -0.0963666
1722  -0.0767390
1723   0.0565785
1724  -0.0283025
1725  -0.2729240
1726  -0.0631626
1727  -0.0140047
1728  -0.1902847
1729  -0.0496633
1730  -0.1125963
1731  -0.1771606
1732  -0.2658703
1733  -0.1867201
1734  -0.2628112
1735  -0.1137937
1736  -0.1226876
1737  -0.1250610
1738  -0.1488435
1739  -0.0942207
1740  -0.0848888
1741  -0.0863630
1742  -0.2357340
1743  -0.2632135
1744  -0.2774443
1745  -0.1910735
1746  -0.2522720
1747  -0.1772158
1748  -0.0536952
1749  -0.0001765
1750  -0.1214647
1751  -0.1610873
1752  -0.1424147
1753  -0.1342205
1754  -0.0620779
1755  -0.1186644
1756  -0.0155047
1757  -0.1408531
1758  -0.1095065
1759  -0.0047989
1760   0.0255347
1761  -0.1251089
1762  -0.0687216
1763  -0.1170360
1764  -0.1486107
1765  -0.0896828
1766  -0.0479961
1767   0.0118209
1768  -0.0534487
1769  -0.1837237
1770   0.0376765
1771  -0.0081498
1772   0.0149398
1773  -0.0774401
1774  -0.0012713
1775   0.0057732
1776  -0.0312069
1777  -0.1453387
1778  -0.1271537
1779  -0.2495293
1780  -0.2380656
1781  -0.0814012
1782  -0.1529762
1783  -0.1556949
1784  -0.1287731
1785  -0.2199307
1786  -0.1970811
1787  -0.2820440
1788  -0.1143062
1789  -0.1783474
1790  -0.2597392
1791  -0.0654531
1792  -0.0691304
1793  -0.0671649
1794  -0.0532025
1795  -0.0706195
1796  -0.1218735
1797  -0.2597857
1798  -0.0949918
1799  -0.1633250
1800  -0.1071167
1801  -0.1765861
1802  -0.2502935
1803  -0.2400156
1804  -0.0478212
1805  -0.1144661
1806  -0.1507838
1807  -0.1747156
1808  -0.0531938
1809  -0.1072090
1810  -0.1587781
1811  -0.1920289
1812  -0.1668491
1813  -0.1696643
1814  -0.1993022
1815  -0.2327829
1816  -0.2320882
1817  -0.3078801
1818  -0.2342220
1819  -0.2562962
1820  -0.3874871
1821  -0.2941334
1822  -0.3264370
1823  -0.1952718
1824  -0.2647664
1825  -0.1874088
1826  -0.0910132
1827  -0.1475511
1828  -0.0879194
1829  -0.0908362
1830  -0.1648351
1831  -0.1571236
1832  -0.1875326
1833  -0.1196473
1834  -0.0105867
1835  -0.2737594
1836  -0.1894205
1837  -0.3215170
1838  -0.2827520
1839  -0.2708901
1840  -0.2818749
1841  -0.2311250
1842  -0.2615352
1843  -0.1970977
1844  -0.2505510
1845  -0.2586857
1846  -0.1961700
1847  -0.1425742
1848  -0.2349113
1849  -0.3322055
1850  -0.2358955
1851  -0.2157266
1852  -0.1551942
1853  -0.2266416
1854  -0.1818076
1855  -0.1205345
1856  -0.1683754
1857  -0.1628329
1858  -0.1965991
1859  -0.1960609
1860  -0.2218203
1861  -0.1711402
1862  -0.2276153
1863  -0.1240181
1864  -0.2760499
1865  -0.1680246
1866  -0.2221959
1867  -0.2410532
1868  -0.2325504
1869  -0.2077156
1870  -0.2572431
1871  -0.2208366
1872  -0.2963629
1873  -0.1806567
1874  -0.2279249
1875  -0.1613543
1876  -0.2096085
1877  -0.1039553
1878  -0.1124898
1879  -0.2117080
1880  -0.2425110
1881  -0.1651417
1882  -0.2039146
1883  -0.1854205
1884  -0.1332836
1885  -0.1201888
1886  -0.1158948
1887  -0.2237998
1888  -0.0742529
1889  -0.0979869
1890  -0.2561099
1891  -0.1474876
1892  -0.2737847
1893  -0.3198979
1894  -0.1792847
1895  -0.1390630
1896  -0.0657886
1897  -0.1012725
1898  -0.2341115
1899  -0.3317411
1900  -0.1577417
1901  -0.1436572
1902  -0.1969796
1903  -0.2164829
1904  -0.3354482
1905  -0.1735720
1906  -0.1722186
1907  -0.3108637
1908  -0.2923310
1909  -0.3328229
1910  -0.2904997
1911  -0.2716411
1912  -0.3002273
1913  -0.2359568
1914  -0.2006029
1915  -0.1816759
1916  -0.2397722
1917  -0.3406116
1918  -0.2318423
1919  -0.0616830
1920  -0.2015078
1921  -0.1524147
1922  -0.2210341
1923  -0.0276698
1924  -0.0709670
1925  -0.1121556
1926   0.0589423
1927  -0.0701353
1928  -0.0269466
1929  -0.0596070
1930   0.0999016
1931  -0.0315659
1932   0.0013108
1933  -0.0312772
1934   0.1354665
1935   0.1116249
1936   0.1303157
1937   0.1386337
1938   0.1531170
1939   0.1682389
1940   0.1623707
1941   0.2464137
1942   0.1996711
1943   0.1647493
1944   0.2500165
1945   0.1341587
1946   0.2029023
1947   0.1952389
1948   0.1229363
1949  -0.1209232
1950   0.0600843
1951  -0.0096661
1952   0.0770391
1953   0.0561393
1954   0.0774919
1955   0.0659658
1956   0.0322988
1957   0.0379572
1958   0.2117254
1959   0.1579479
1960   0.2641609
1961   0.1850889
1962   0.0594006
1963   0.1431383
1964   0.0686583
1965   0.0060707
1966   0.1430029
1967   0.0203822
1968   0.0950940
1969   0.1139912
1970   0.0033140
1971  -0.0503066
1972   0.0437599
1973   0.0849665
1974  -0.0281592
1975   0.0268049
1976   0.1197928
1977   0.2349111
1978   0.1684742
1979   0.1926590
1980   0.1732390
