Year   Temperature
1750  -0.3994287
1751  -0.2430402
1752  -0.3789254
1753  -0.4018901
1754  -0.4156736
1755  -0.4481149
1756  -0.3486424
1757  -0.3466132
1758  -0.4632872
1759  -0.2378757
1760  -0.2083422
1761  -0.1983806
1762  -0.2395764
1763  -0.2243396
1764  -0.1353990
1765  -0.0791371
1766  -0.2131275
1767  -0.1345682
1768  -0.2639501
1769  -0.2554906
1770  -0.2406570
1771   0.0143358
1772   0.1697542
1773  -0.0824141
1774   0.0641660
1775   0.1326557
1776  -0.1324887
1777  -0.2360688
1778  -0.1600190
1779  -0.3809701
1780  -0.3641597
1781  -0.1952597
1782  -0.1699644
1783  -0.1137115
1784   0.0290461
1785   0.0730438
1786  -0.1248799
1787  -0.1164344
1788  -0.1542434
1789  -0.1080480
1790  -0.0424385
1791  -0.1842161
1792   0.0014741
1793  -0.0935435
1794  -0.0117121
1795  -0.2531464
1796  -0.2360382
1797  -0.1304239
1798  -0.2547058
1799  -0.2091875
1800  -0.0142029
1801   0.1141498
1802  -0.1675299
1803  -0.1501050
1804  -0.0783534
1805   0.0619395
1806   0.0635625
1807  -0.2162591
1808  -0.0993334
1809  -0.2500459
1810  -0.2801439
1811  -0.2205658
1812  -0.1370197
1813  -0.3348324
1814  -0.3847024
1815  -0.3433980
1816  -0.5989025
1817  -0.5510263
1818  -0.4485407
1819  -0.4820176
1820  -0.6390292
1821  -0.2546939
1822  -0.2849950
1823  -0.2665830
1824  -0.2005323
1825  -0.3594071
1826  -0.0505397
1827  -0.1435887
1828  -0.1275185
1829  -0.1084282
1830  -0.1265870
1831  -0.1604748
1832  -0.1579981
1833  -0.2865839
1834  -0.0039367
1835  -0.3796027
1836  -0.2480557
1837  -0.3366738
1838  -0.2334592
1839  -0.0886673
1840  -0.2467323
1841  -0.0347960
1842   0.0203369
1843  -0.1268229
1844  -0.0296209
1845  -0.0488545
1846  -0.0934200
1847   0.0743185
1848  -0.1001093
1849  -0.2551949
1850  -0.1622630
1851  -0.0208219
1852  -0.0508192
1853   0.0680788
1854  -0.1788691
1855  -0.0772126
1856   0.0666742
1857  -0.0757927
1858  -0.2204680
1859  -0.0655446
1860  -0.2664060
1861  -0.2973714
1862  -0.1114542
1863  -0.1226156
1864  -0.2034289
1865   0.1444198
1866   0.1263309
1867  -0.1401897
1868  -0.1975616
1869  -0.1190283
1870  -0.3234369
1871  -0.2432488
1872  -0.0969247
1873  -0.2470976
1874  -0.3370438
1875  -0.2806587
1876   0.0294767
1877  -0.0557816
1878  -0.1204846
1879  -0.1857117
1880   0.0852708
1881  -0.1040902
1882  -0.2358731
1883  -0.3192978
1884  -0.3798812
1885  -0.3540834
1886  -0.1119894
1887   0.0916050
1888   0.0396779
1889   0.0888500
1890   0.0386812
1891  -0.0008768
1892  -0.0577936
1893  -0.0738424
1894   0.0261535
1895  -0.1322591
1896   0.0292964
1897  -0.0167899
1898  -0.1094732
1899  -0.1781308
1900  -0.0489493
1901   0.1150581
1902  -0.1916740
1903  -0.3164318
1904  -0.1968115
1905  -0.0548767
1906   0.0527077
1907  -0.2937540
1908  -0.2594710
1909  -0.1923454
1910  -0.1951204
1911  -0.1889791
1912  -0.2227887
1913  -0.2012026
1914  -0.0791321
1915  -0.1518095
1916  -0.0359445
1917  -0.1242678
1918  -0.2105118
1919  -0.0689427
1920  -0.2652706
1921  -0.4395229
1922  -0.2851474
1923  -0.2402658
1924  -0.1299364
1925   0.0300644
1926  -0.0191638
1927  -0.0316482
1928   0.0187677
1929  -0.0223516
1930   0.0198534
1931  -0.2289233
1932  -0.1301327
1933  -0.0210356
1934  -0.0708725
1935   0.0791184
1936   0.1096907
1937   0.1695235
1938   0.1954198
1939   0.1019255
1940   0.0010879
1941   0.1155610
1942   0.0392183
1943  -0.0254947
1944   0.0595720
1945   0.1486297
1946   0.0182618
1947   0.1966951
1948   0.0854356
1949   0.0445250
1950  -0.0919778
1951   0.1861469
1952   0.2982524
1953   0.0870549
1954   0.1039953
1955   0.0501265
1956   0.1324715
1957   0.3793010
1958   0.1748942
1959   0.0675876
1960   0.0366639
1961   0.0613888
1962   0.0687027
1963   0.1601457
1964   0.1092090
1965   0.0013429
1966   0.0742434
1967   0.1021219
1968   0.1448351
1969   0.2083304
1970   0.1155559
1971   0.0008181
1972   0.1117666
1973   0.1018288
1974  -0.0134804
1975   0.0581648
1976   0.2504109
1977   0.0771638
1978   0.0762560
1979   0.1199030
1980   0.1545476
