Year   Temperature
1750  -0.5120396
1751  -0.3640617
1752  -0.4336934
1753  -0.4314245
1754  -0.5092903
1755  -0.6100391
1756  -0.3951418
1757  -0.3172477
1758  -0.3666933
1759  -0.1357172
1760  -0.2309721
1761  -0.2192474
1762  -0.2440000
1763  -0.3066474
1764  -0.1217757
1765  -0.0781762
1766  -0.2362283
1767  -0.2831008
1768  -0.3125399
1769  -0.2481706
1770  -0.2081633
1771  -0.0928255
1772   0.0351551
1773  -0.0785786
1774   0.0802947
1775   0.1435607
1776  -0.0794629
1777  -0.1716787
1778  -0.1897867
1779  -0.3964173
1780  -0.3076259
1781  -0.2233187
1782  -0.2434153
1783  -0.1059914
1784  -0.0231376
1785   0.0456524
1786  -0.1037933
1787  -0.0592269
1788  -0.1452696
1789  -0.1205284
1790   0.0338593
1791  -0.2171172
1792  -0.0856525
1793  -0.1517063
1794  -0.0899104
1795  -0.3338979
1796  -0.3341834
1797  -0.1055597
1798  -0.1892191
1799  -0.1681723
1800  -0.0765139
1801   0.1144640
1802  -0.0538433
1803  -0.0699283
1804  -0.0591280
1805   0.0165628
1806   0.1222508
1807  -0.1137990
1808  -0.0996304
1809  -0.2608983
1810  -0.2231102
1811  -0.1254444
1812  -0.1344236
1813  -0.2936865
1814  -0.4285170
1815  -0.3150083
1816  -0.5594225
1817  -0.5034120
1818  -0.4073819
1819  -0.4983256
1820  -0.5047446
1821  -0.3276828
1822  -0.2775861
1823  -0.3087881
1824  -0.2088895
1825  -0.3391105
1826  -0.1628665
1827  -0.2137235
1828  -0.2041667
1829  -0.1721777
1830  -0.1730386
1831  -0.1576255
1832  -0.1811709
1833  -0.3074667
1834  -0.0582097
1835  -0.3351809
1836  -0.3613115
1837  -0.4077676
1838  -0.2751612
1839  -0.2257246
1840  -0.3827414
1841  -0.1402401
1842  -0.0620783
1843  -0.2498545
1844  -0.0897231
1845  -0.1583401
1846  -0.1176333
1847  -0.0774671
1848  -0.0907630
1849  -0.1800623
1850  -0.1778474
1851  -0.0330206
1852  -0.0930745
1853  -0.0447048
1854  -0.2320063
1855  -0.1148153
1856  -0.0416920
1857  -0.1176581
1858  -0.1753403
1859  -0.0206390
1860  -0.2461050
1861  -0.1978422
1862  -0.1357544
1863  -0.0812313
1864  -0.1946577
1865   0.0818507
1866  -0.0176641
1867  -0.1110547
1868  -0.1925938
1869  -0.1764934
1870  -0.3415389
1871  -0.2844257
1872  -0.1150204
1873  -0.2571252
1874  -0.3005912
1875  -0.2432790
1876   0.0199817
1877  -0.0701009
1878  -0.2233057
1879  -0.1457404
1880   0.0253975
1881  -0.1771054
1882  -0.1866433
1883  -0.3124007
1884  -0.4270850
1885  -0.4289474
1886  -0.1732065
1887   0.0978324
1888  -0.0890830
1889   0.0649837
1890   0.1447579
1891   0.0147350
1892  -0.0099246
1893   0.0812999
1894   0.1220125
1895  -0.0377918
1896  -0.0846003
1897  -0.0371051
1898  -0.1109158
1899  -0.1309522
1900  -0.1321293
1901  -0.0958444
1902  -0.3457041
1903  -0.3711889
1904  -0.1914528
1905  -0.2911069
1906  -0.1121090
1907  -0.3570380
1908  -0.1352387
1909  -0.2006875
1910  -0.1232084
1911  -0.1502971
1912  -0.2983424
1913  -0.2247845
1914  -0.1598992
1915  -0.1820918
1916  -0.0967644
1917   0.0076454
1918  -0.1314773
1919  -0.0655137
1920  -0.1831547
1921  -0.3088900
1922  -0.2444377
1923  -0.2450130
1924  -0.1681321
1925  -0.0062239
1926  -0.0976066
1927  -0.0587300
1928  -0.0288378
1929   0.0026210
1930  -0.0652643
1931  -0.2225382
1932  -0.1554653
1933   0.0269849
1934  -0.0637666
1935   0.0338181
1936   0.0308581
1937   0.0818845
1938   0.1151263
1939   0.0053168
1940  -0.1140125
1941  -0.0848240
1942  -0.0643490
1943  -0.0131285
1944   0.0658307
1945   0.2306370
1946   0.0934733
1947   0.2488485
1948   0.0918936
1949   0.1727305
1950   0.1303037
1951   0.1949986
1952   0.3284849
1953   0.1245476
1954   0.1832729
1955   0.1538396
1956   0.1584590
1957   0.3234772
1958   0.1797526
1959   0.1001976
1960   0.0453407
1961   0.0691352
1962   0.1259197
1963   0.1654063
1964   0.1161566
1965  -0.0676603
1966  -0.0060023
1967   0.1229743
1968   0.0830050
1969   0.1380278
1970   0.1962371
1971   0.1304975
1972   0.1268403
1973   0.1822492
1974   0.1319030
1975   0.2239109
1976   0.2931383
1977   0.0982077
1978   0.0697440
1979   0.1145757
1980   0.1166697
