Year   Temperature
1800  -0.0854037
1801  -0.0542748
1802  -0.0545884
1803  -0.3027284
1804  -0.0596885
1805  -0.3341344
1806   0.1089024
1807  -0.0004316
1808  -0.0817317
1809  -0.2265659
1810  -0.2007584
1811   0.0046407
1812  -0.4445189
1813  -0.3078657
1814  -0.4058070
1815  -0.3175007
1816  -0.4752400
1817  -0.3489505
1818  -0.1698945
1819  -0.1842394
1820  -0.4614362
1821  -0.2961368
1822   0.0108642
1823  -0.3048164
1824  -0.1656735
1825  -0.1257054
1826   0.0238176
1827  -0.1902804
1828  -0.1285936
1829  -0.4180452
1830  -0.2135907
1831  -0.0333657
1832  -0.2899473
1833  -0.2227170
1834   0.2194782
1835  -0.3637038
1836  -0.2851604
1837  -0.5708829
1838  -0.7115783
1839  -0.4140640
1840  -0.5721638
1841  -0.2367656
1842  -0.4037643
1843  -0.2445581
1844  -0.4267522
1845  -0.4708672
1846  -0.0404811
1847  -0.2982121
1848  -0.2100068
1849  -0.3819428
1850  -0.3482052
1851  -0.3692911
1852  -0.1810654
1853  -0.3785506
1854  -0.3054599
1855  -0.4114953
1856  -0.2282659
1857  -0.1395162
1858  -0.2718436
1859   0.0231677
1860  -0.4368160
1861  -0.1182073
1862  -0.2827179
1863  -0.0002046
1864  -0.5641662
1865  -0.1423187
1866  -0.1823920
1867  -0.3049298
1868  -0.0817101
1869  -0.2448819
1870  -0.4709214
1871  -0.4622474
1872  -0.0361102
1873  -0.0955773
1874  -0.2192900
1875  -0.3601195
1876  -0.2543341
1877  -0.1459867
1878  -0.1010918
1879  -0.4074645
1880  -0.1416696
1881  -0.3449166
1882  -0.1019371
1883  -0.2441331
1884  -0.2490898
1885  -0.3048695
1886  -0.1064037
1887  -0.3778696
1888  -0.4241784
1889  -0.1193312
1890  -0.2449115
1891  -0.2434338
1892  -0.3467524
1893  -0.2699063
1894  -0.0782734
1895  -0.1966354
1896  -0.1325743
1897  -0.0443412
1898  -0.0541538
1899  -0.2462134
1900  -0.0759742
1901  -0.1971065
1902  -0.5066151
1903  -0.1498271
1904  -0.2447462
1905  -0.2953068
1906  -0.0918048
1907  -0.4056595
1908  -0.4270409
1909  -0.5107278
1910  -0.1599660
1911  -0.1231558
1912  -0.4082150
1913  -0.2582815
1914  -0.1757103
1915  -0.2484259
1916  -0.1796666
1917  -0.4119219
1918  -0.2609824
1919  -0.2428909
1920  -0.1445787
1921  -0.0136306
1922  -0.3697695
1923  -0.0937405
1924  -0.1663879
1925  -0.1040923
1926   0.0813926
1927  -0.0243951
1928   0.1197376
1929  -0.1990710
1930   0.2702625
1931  -0.0504185
1932   0.0920113
1933  -0.0309728
1934   0.4217528
1935   0.2790738
1936   0.1971184
1937   0.3421822
1938   0.3857627
1939   0.2094290
1940  -0.2599556
1941  -0.1947436
1942  -0.1599950
1943   0.2533177
1944   0.2215361
1945   0.1844851
1946   0.2180084
1947   0.2641556
1948   0.2760008
1949   0.2310131
1950   0.2651917
1951   0.1251550
1952   0.1004151
1953   0.1760992
1954   0.0669296
1955   0.0959833
1956  -0.1800135
1957   0.1144934
1958   0.2060395
1959   0.3448513
1960   0.3233156
1961   0.4153295
1962  -0.0227157
1963  -0.0631943
1964   0.0921868
1965  -0.1920818
1966   0.1537970
1967   0.1629286
1968   0.0709803
1969   0.0052013
1970  -0.0036920
1971  -0.0280806
1972  -0.0049978
1973   0.1632117
1974   0.1207916
1975   0.2116883
1976   0.0425318
1977   0.1725641
1978  -0.0991220
1979   0.1151805
1980  -0.0855131
