Year   Temperature
1820  -0.0425314
1821  -0.0167515
1822   0.0128892
1823  -0.0615705
1824   0.0740904
1825   0.0721249
1826   0.3359337
1827   0.2230621
1828   0.1542533
1829   0.3238140
1830   0.1018672
1831   0.1304615
1832   0.1160616
1833   0.0326401
1834   0.1542157
1835   0.0230949
1836   0.0558131
1837   0.0417428
1838  -0.0589976
1839   0.1156244
1840  -0.0302416
1841  -0.1975079
1842   0.0969020
1843  -0.0064012
1844   0.0075089
1845  -0.0125705
1846   0.1460891
1847   0.0207737
1848  -0.0381858
1849  -0.0672322
1850   0.0307875
1851   0.0052704
1852  -0.0542910
1853   0.0714667
1854  -0.0601479
1855   0.0432333
1856   0.0625112
1857   0.2356823
1858   0.2223034
1859   0.0916491
1860  -0.0955220
1861  -0.1011387
1862  -0.0360047
1863  -0.0898744
1864  -0.1732793
1865   0.0533081
1866  -0.2693664
1867  -0.1912848
1868   0.0323751
1869  -0.1968794
1870   0.0485613
1871  -0.0226708
1872   0.0410277
1873   0.0287755
1874  -0.0726028
1875   0.0203733
1876  -0.0874254
1877  -0.1394335
1878   0.0203432
1879   0.0701754
1880  -0.0812240
1881  -0.0571330
1882  -0.1630656
1883  -0.2791537
1884  -0.1452646
1885  -0.1796017
1886   0.0482234
1887   0.0720403
1888  -0.1260750
1889   0.0056169
1890  -0.0881401
1891  -0.0648333
1892  -0.0798444
1893  -0.0261620
1894  -0.1191431
1895  -0.0442337
1896   0.0275091
1897   0.0708405
1898  -0.0506816
1899  -0.0825384
1900  -0.1170452
1901   0.0714435
1902  -0.1236468
1903  -0.3104430
1904  -0.2181876
1905  -0.0753383
1906  -0.0249796
1907  -0.2649716
1908  -0.1381073
1909  -0.1837517
1910  -0.0871371
1911  -0.1054978
1912  -0.1448467
1913  -0.1109898
1914  -0.0968037
1915   0.0065802
1916  -0.2309118
1917  -0.2233242
1918  -0.2482103
1919  -0.0491687
1920  -0.1890285
1921  -0.2312780
1922  -0.1190550
1923  -0.2921345
1924  -0.1884970
1925  -0.0968838
1926  -0.1709457
1927  -0.0768697
1928  -0.1752588
1929  -0.1496757
1930  -0.0624268
1931   0.0949970
1932   0.1189130
1933   0.1681488
1934  -0.0158285
1935   0.0297782
1936   0.0866637
1937  -0.0034820
1938   0.1355411
1939   0.2222305
1940   0.0690517
1941   0.2659027
1942   0.0133344
1943  -0.1837414
1944   0.0136518
1945   0.0697147
1946   0.0352241
1947   0.2335098
1948  -0.0716714
1949  -0.0036508
1950  -0.0284752
1951   0.0907581
1952   0.1723871
1953  -0.0119276
1954  -0.1324768
1955   0.2006549
1956  -0.0115119
1957  -0.0474022
1958   0.2977582
1959   0.1459099
1960   0.1694554
1961  -0.0012211
1962  -0.1158750
1963   0.1117927
1964  -0.0681919
1965  -0.0100899
1966   0.1122594
1967  -0.0366325
1968   0.1515767
1969   0.2610759
1970   0.1215361
1971   0.1347167
1972   0.2724464
1973   0.2458576
1974   0.1018311
1975   0.2234764
1976   0.2734463
1977   0.2165216
1978   0.0834168
1979   0.1287536
1980   0.0516752
