Year   Temperature
1820  -0.0910857
1821   0.0041410
1822   0.2174609
1823  -0.0668380
1824   0.1334556
1825   0.1479189
1826   0.4451262
1827   0.1925224
1828   0.1414938
1829   0.0608647
1830   0.0375174
1831   0.1354578
1832   0.1379039
1833   0.0366464
1834   0.2774865
1835  -0.0101467
1836  -0.0061220
1837  -0.0598797
1838  -0.2623901
1839   0.0259665
1840  -0.1513516
1841  -0.2005836
1842   0.0967054
1843  -0.0417408
1844  -0.1517270
1845  -0.1248921
1846   0.2107434
1847  -0.0339061
1848  -0.0697478
1849  -0.1318764
1850  -0.0423442
1851  -0.0426202
1852  -0.0525541
1853   0.0074911
1854  -0.0450765
1855  -0.0840682
1856  -0.0545355
1857   0.2564617
1858   0.1950487
1859   0.1656501
1860  -0.2216981
1861  -0.0742924
1862  -0.1095295
1863   0.0455452
1864  -0.2859854
1865   0.0351930
1866  -0.2581370
1867  -0.3149215
1868   0.1177326
1869  -0.1666411
1870  -0.0766402
1871  -0.1900918
1872   0.0721424
1873   0.0528357
1874  -0.0744296
1875  -0.1326755
1876  -0.1320139
1877  -0.2130243
1878   0.0134677
1879  -0.1088522
1880  -0.1088055
1881  -0.2066917
1882  -0.1677531
1883  -0.2877537
1884  -0.1377570
1885  -0.2336482
1886  -0.0082482
1887  -0.0053807
1888  -0.3260969
1889  -0.0314199
1890  -0.0994454
1891  -0.1224391
1892  -0.1839259
1893  -0.0888478
1894  -0.0706472
1895  -0.1097499
1896  -0.0242113
1897   0.0622146
1898  -0.0133761
1899  -0.1021054
1900  -0.1229425
1901   0.0430033
1902  -0.2685150
1903  -0.2833501
1904  -0.1734752
1905  -0.0623328
1906  -0.0020760
1907  -0.3168698
1908  -0.1717082
1909  -0.2644066
1910  -0.0741993
1911  -0.0059619
1912  -0.2077019
1913  -0.1021375
1914  -0.0918272
1915  -0.1390284
1916  -0.2226249
1917  -0.2808424
1918  -0.2493827
1919  -0.1522507
1920  -0.1104186
1921  -0.0917493
1922  -0.2192267
1923  -0.3018997
1924  -0.2075634
1925  -0.0807343
1926  -0.1520914
1927  -0.0935291
1928  -0.1500689
1929  -0.1750157
1930   0.0314782
1931   0.0083614
1932   0.1498969
1933   0.1708250
1934   0.1831199
1935   0.0796934
1936   0.1509563
1937   0.0894210
1938   0.2576124
1939   0.2311690
1940  -0.0871718
1941   0.0776407
1942  -0.0784132
1943  -0.0350599
1944   0.0441714
1945   0.1584011
1946   0.0677294
1947   0.2562766
1948   0.0181494
1949   0.1753192
1950   0.0799350
1951   0.1231811
1952   0.1419205
1953   0.1201639
1954  -0.1430860
1955   0.1179458
1956  -0.1470290
1957  -0.0047872
1958   0.2023527
1959   0.2443455
1960   0.1457467
1961   0.1192028
1962  -0.1572977
1963   0.0138662
1964  -0.0372371
1965  -0.1227057
1966  -0.0041610
1967   0.0424902
1968   0.0986564
1969   0.1626563
1970   0.0796030
1971   0.1330368
1972   0.2610883
1973   0.2618097
1974   0.1952664
1975   0.3325920
1976   0.2615639
1977   0.1877629
1978  -0.0266449
1979   0.0774149
1980  -0.0582410
