Year   Temperature
1820  -0.3900014
1821  -0.2589993
1822  -0.3171047
1823  -0.1926696
1824  -0.2940116
1825  -0.2257437
1826  -0.0956940
1827  -0.1774263
1828  -0.1018743
1829  -0.1026731
1830  -0.1822525
1831  -0.1320337
1832  -0.2465653
1833  -0.1147634
1834  -0.0392944
1835  -0.3298772
1836  -0.2484230
1837  -0.3947484
1838  -0.3442760
1839  -0.3058056
1840  -0.3004307
1841  -0.2147185
1842  -0.2876883
1843  -0.2206324
1844  -0.2575158
1845  -0.3106989
1846  -0.2125296
1847  -0.1823475
1848  -0.2281526
1849  -0.3378436
1850  -0.2464334
1851  -0.2248914
1852  -0.1675410
1853  -0.1861443
1854  -0.2301094
1855  -0.0942677
1856  -0.1702562
1857  -0.1646445
1858  -0.1829639
1859  -0.2046165
1860  -0.1981431
1861  -0.1780414
1862  -0.2356084
1863  -0.1656976
1864  -0.2801245
1865  -0.1445793
1866  -0.2408640
1867  -0.2036638
1868  -0.2632203
1869  -0.2137237
1870  -0.3128450
1871  -0.2187034
1872  -0.3136872
1873  -0.2164028
1874  -0.2680124
1875  -0.2063328
1876  -0.1896611
1877  -0.0977326
1878  -0.1263519
1879  -0.2233434
1880  -0.2291584
1881  -0.1631469
1882  -0.2137190
1883  -0.2134242
1884  -0.1908976
1885  -0.1589697
1886  -0.1139681
1887  -0.2635339
1888  -0.0888390
1889  -0.0915315
1890  -0.2909064
1891  -0.1115416
1892  -0.2761067
1893  -0.3290991
1894  -0.1555736
1895  -0.1418460
1896  -0.0248696
1897  -0.0933080
1898  -0.2465354
1899  -0.3628427
1900  -0.1740420
1901  -0.1074887
1902  -0.1919728
1903  -0.1884996
1904  -0.3519289
1905  -0.2249292
1906  -0.1714152
1907  -0.2995867
1908  -0.2619425
1909  -0.3101704
1910  -0.2742698
1911  -0.2914282
1912  -0.3124467
1913  -0.2455929
1914  -0.2352309
1915  -0.1837028
1916  -0.2466765
1917  -0.2953834
1918  -0.2723535
1919  -0.1018829
1920  -0.2029131
1921  -0.1700326
1922  -0.2156852
1923  -0.0599025
1924  -0.0697439
1925  -0.1494822
1926   0.0445811
1927  -0.0815562
1928   0.0178653
1929  -0.0773035
1930   0.0882434
1931   0.0022576
1932   0.0408428
1933  -0.0528767
1934   0.1396107
1935   0.1106943
1936   0.1275486
1937   0.1451294
1938   0.1630622
1939   0.1811875
1940   0.1422754
1941   0.2561427
1942   0.1825922
1943   0.1585423
1944   0.2277627
1945   0.1366322
1946   0.1946059
1947   0.1871794
1948   0.1190827
1949  -0.1433182
1950   0.0179544
1951  -0.0215575
1952   0.0743731
1953   0.0952263
1954   0.1488169
1955   0.1396308
1956   0.0510742
1957   0.0699204
1958   0.2063613
1959   0.1554319
1960   0.2738653
1961   0.1674386
1962   0.1083236
1963   0.1424207
1964   0.0904809
1965   0.0196266
1966   0.1823362
1967   0.0379163
1968   0.1096988
1969   0.1828546
1970   0.0549912
1971  -0.0625436
1972   0.0222352
1973   0.0466256
1974  -0.0743659
1975  -0.0011328
1976   0.0352280
1977   0.2188345
1978   0.1639789
1979   0.2056564
1980   0.1546869
