Year   Temperature
1820  -0.3855350
1821  -0.5445403
1822  -0.3680063
1823  -0.2329146
1824  -0.3548790
1825  -0.2525712
1826  -0.1619159
1827  -0.2756883
1828  -0.0778379
1829  -0.0574361
1830  -0.2063198
1831  -0.1039047
1832  -0.3305265
1833  -0.2790077
1834  -0.0549384
1835  -0.4262014
1836  -0.3812332
1837  -0.6200304
1838  -0.5507228
1839  -0.5980310
1840  -0.4682444
1841  -0.3122555
1842  -0.3481580
1843  -0.2505306
1844  -0.3226334
1845  -0.3028959
1846  -0.2624736
1847  -0.0875802
1848  -0.2362153
1849  -0.3922072
1850  -0.3199531
1851  -0.2471217
1852  -0.3050688
1853  -0.3643377
1854  -0.3344114
1855  -0.3028928
1856  -0.3464696
1857  -0.2839352
1858  -0.1243677
1859  -0.2063025
1860  -0.2731411
1861  -0.1030715
1862  -0.4210619
1863  -0.2085712
1864  -0.3477740
1865  -0.2690658
1866  -0.3970986
1867  -0.3404484
1868  -0.4426734
1869  -0.3354943
1870  -0.3722492
1871  -0.2563996
1872  -0.2912162
1873  -0.2498315
1874  -0.3091466
1875  -0.1965689
1876  -0.1988337
1877  -0.2760655
1878  -0.1101193
1879  -0.1437898
1880  -0.1790932
1881  -0.2379496
1882  -0.0880809
1883  -0.1620128
1884  -0.3095106
1885  -0.3111197
1886  -0.1065154
1887  -0.2621895
1888  -0.2327646
1889   0.0025257
1890  -0.2004594
1891  -0.1663583
1892  -0.1919030
1893  -0.2513621
1894  -0.0572579
1895  -0.1322811
1896  -0.0166782
1897  -0.1217666
1898  -0.1963683
1899  -0.2235583
1900  -0.1645833
1901  -0.1999504
1902  -0.2427931
1903  -0.1037765
1904  -0.1618100
1905  -0.4055730
1906  -0.1818561
1907  -0.3311726
1908  -0.2844770
1909  -0.3846447
1910  -0.2303940
1911  -0.4124362
1912  -0.3756216
1913  -0.3041697
1914  -0.3490481
1915  -0.3046632
1916  -0.2983631
1917  -0.3769806
1918  -0.3758249
1919  -0.2197990
1920  -0.2579765
1921  -0.1153982
1922  -0.2124150
1923  -0.0002376
1924  -0.1130751
1925  -0.0565709
1926   0.0156327
1927  -0.0625490
1928   0.0115462
1929   0.0108316
1930   0.0199149
1931   0.0445232
1932   0.0954687
1933   0.1863213
1934   0.4873842
1935   0.3068126
1936   0.1510188
1937   0.1383005
1938   0.2941761
1939   0.3000343
1940   0.1357063
1941   0.0443106
1942   0.0136807
1943   0.1783867
1944   0.2791975
1945   0.2765416
1946   0.3937850
1947   0.3114917
1948   0.2960562
1949  -0.0412594
1950   0.3432402
1951   0.1356574
1952   0.0956980
1953   0.1159001
1954   0.1812597
1955   0.1847929
1956   0.1120270
1957  -0.0444548
1958   0.1694640
1959   0.2792992
1960   0.3976535
1961   0.4230784
1962  -0.0123567
1963  -0.1458852
1964   0.0617977
1965  -0.2576597
1966  -0.0431240
1967  -0.0715241
1968  -0.0754688
1969  -0.1282828
1970  -0.2145748
1971   0.0135147
1972  -0.0899656
1973  -0.0092267
1974   0.0556455
1975   0.0878160
1976   0.0717278
1977   0.2771430
1978   0.0798045
1979   0.0610601
1980   0.1577064
