Year   Temperature
1400   0.0121
1401  -0.0206
1402   0.1958
1403   0.2813
1404   0.2176
1405   0.1443
1406   0.1267
1407   0.2454
1408   0.1044
1409   0.1697
1410   0.0982
1411   0.1827
1412  -0.0588
1413   0.0937
1414   0.0066
1415   0.2921
1416   0.2855
1417  -0.0198
1418   0.1943
1419   0.1846
1420  -0.0594
1421   0.1132
1422   0.0980
1423   0.2252
1424   0.3296
1425   0.3481
1426   0.4257
1427   0.3340
1428   0.3451
1429   0.0260
1430   0.3832
1431   0.3021
1432   0.2966
1433   0.0731
1434   0.2302
1435   0.0676
1436   0.0310
1437   0.2601
1438   0.1353
1439  -0.0798
1440   0.0562
1441   0.2262
1442   0.2390
1443   0.2060
1444   0.2400
1445   0.1175
1446  -0.0472
1447   0.0631
1448  -0.1435
1449  -0.2207
1450   0.0168
1451  -0.1044
1452   0.0947
1453  -0.3129
1454  -0.0129
1455  -0.1773
1456  -0.2692
1457   0.0539
1458  -0.2409
1459  -0.3390
1460  -0.1536
1461  -0.3250
1462  -0.4202
1463  -0.3595
1464  -0.4303
1465  -0.1201
1466  -0.4127
1467  -0.2805
1468  -0.1356
1469  -0.2176
1470  -0.1400
1471  -0.1446
1472  -0.2089
1473  -0.1255
1474   0.0701
1475  -0.1950
1476  -0.0976
1477  -0.2358
1478  -0.1906
1479   0.0602
1480   0.1049
1481  -0.4168
1482  -0.1410
1483  -0.1295
1484   0.2020
1485   0.0264
1486  -0.0064
1487   0.0580
1488   0.2835
1489   0.3598
1490   0.2160
1491   0.4117
1492   0.1370
1493   0.2704
1494   0.1157
1495   0.0709
1496   0.2469
1497  -0.0616
1498   0.0655
1499   0.0735
1500   0.1543
1501   0.0020
1502  -0.2233
1503   0.0038
1504  -0.0290
1505  -0.0176
1506   0.0919
1507   0.0140
1508   0.1225
1509   0.1037
1510   0.2269
1511   0.3132
1512   0.1001
1513  -0.0209
1514  -0.1467
1515  -0.0995
1516  -0.1487
1517  -0.1075
1518  -0.1530
1519  -0.1827
1520  -0.1352
1521   0.0632
1522  -0.2399
1523  -0.0287
1524  -0.2554
1525   0.0999
1526  -0.0080
1527   0.0380
1528  -0.2573
1529  -0.2239
1530  -0.0278
1531   0.0724
1532   0.0011
1533   0.0065
1534  -0.0854
1535  -0.2304
1536  -0.1910
1537  -0.2409
1538  -0.2963
1539   0.1216
1540   0.0273
1541  -0.0771
1542  -0.0324
1543  -0.3126
1544  -0.2200
1545  -0.0307
1546   0.0959
1547   0.0352
1548  -0.0867
1549  -0.2408
1550  -0.0700
1551   0.1250
1552   0.0825
1553  -0.0599
1554   0.0637
1555   0.1302
1556   0.1400
1557  -0.0604
1558  -0.0471
1559  -0.0121
1560  -0.2712
1561   0.0179
1562  -0.0131
1563   0.1712
1564   0.3529
1565   0.1928
1566   0.5304
1567   0.0203
1568  -0.0072
1569   0.1190
1570  -0.0095
1571   0.1009
1572  -0.2064
1573  -0.2823
1574  -0.0383
1575  -0.0864
1576  -0.1730
1577  -0.4503
1578  -0.4065
1579  -0.3417
1580  -0.0576
1581  -0.2128
1582   0.1484
1583  -0.0139
1584   0.0148
1585  -0.0789
1586  -0.2343
1587  -0.4911
1588  -0.3032
1589  -0.2700
1590  -0.1337
1591  -0.0728
1592  -0.0827
1593  -0.0908
1594  -0.1805
1595  -0.0421
1596  -0.1721
1597  -0.1322
1598   0.0219
1599  -0.0100
1600  -0.1103
1601  -0.3698
1602  -0.3362
1603  -0.2648
1604  -0.3111
1605  -0.1942
1606  -0.2111
1607  -0.1698
1608  -0.2909
1609  -0.2099
1610  -0.1751
1611  -0.1652
1612  -0.1995
