Year   Temperature
1400  -0.1323
1401  -0.1816
1402  -0.0291
1403   0.0352
1404  -0.1101
1405   0.0808
1406   0.1917
1407   0.1700
1408   0.1656
1409   0.0683
1410   0.0171
1411   0.0508
1412  -0.0771
1413   0.0456
1414   0.0868
1415   0.2398
1416   0.2375
1417  -0.0146
1418   0.2317
1419   0.1972
1420  -0.0071
1421   0.0673
1422   0.1092
1423   0.1517
1424   0.2421
1425   0.2603
1426   0.2131
1427   0.1581
1428   0.2670
1429  -0.0440
1430   0.3019
1431   0.1803
1432   0.0703
1433   0.0245
1434   0.2716
1435   0.1202
1436   0.2204
1437   0.2083
1438   0.0801
1439  -0.1284
1440  -0.0827
1441   0.0814
1442   0.0939
1443   0.1227
1444   0.2207
1445   0.0213
1446  -0.0926
1447  -0.0221
1448  -0.2877
1449  -0.3351
1450  -0.2478
1451  -0.2690
1452  -0.0862
1453  -0.2271
1454   0.1183
1455  -0.2045
1456  -0.1276
1457  -0.0987
1458  -0.3085
1459  -0.3921
1460  -0.2400
1461  -0.3091
1462  -0.4449
1463  -0.3599
1464  -0.4423
1465  -0.2268
1466  -0.4457
1467  -0.3475
1468  -0.1310
1469  -0.1435
1470  -0.0746
1471  -0.2836
1472  -0.2148
1473  -0.1612
1474   0.0377
1475  -0.1450
1476  -0.0775
1477  -0.1751
1478  -0.1320
1479  -0.0176
1480   0.0417
1481  -0.2331
1482  -0.1077
1483  -0.1139
1484   0.0743
1485  -0.0449
1486  -0.1472
1487  -0.0824
1488   0.1068
1489   0.0750
1490   0.1010
1491   0.1646
1492   0.0387
1493   0.0875
1494   0.0697
1495   0.0273
1496   0.1476
1497  -0.0040
1498   0.0681
1499   0.0314
1500   0.0629
1501   0.0192
1502  -0.1539
1503   0.0198
1504   0.0648
1505   0.0229
1506  -0.0933
1507  -0.0098
1508   0.0632
1509   0.1274
1510   0.1956
1511   0.1076
1512   0.1653
1513   0.0527
1514  -0.0039
1515  -0.0853
1516  -0.1292
1517  -0.0643
1518  -0.0508
1519  -0.2080
1520  -0.2360
1521  -0.1184
1522  -0.1042
1523  -0.1066
1524  -0.1929
1525  -0.0331
1526  -0.1950
1527  -0.1467
1528  -0.1636
1529  -0.1608
1530  -0.1090
1531  -0.0902
1532   0.0347
1533   0.0990
1534  -0.0687
1535  -0.1297
1536  -0.0547
1537  -0.2052
1538  -0.1122
1539  -0.1179
1540   0.0363
1541   0.0628
1542   0.1081
1543  -0.1711
1544  -0.1170
1545  -0.0372
1546   0.0042
1547   0.0675
1548  -0.0538
1549  -0.1657
1550  -0.0193
1551   0.1203
1552   0.0859
1553   0.0021
1554  -0.0154
1555  -0.0881
1556   0.1271
1557  -0.1114
1558   0.0376
1559   0.0586
1560  -0.1900
1561   0.0063
1562   0.0787
1563   0.1260
1564   0.1876
1565   0.1087
1566   0.2093
1567  -0.0207
1568  -0.0009
1569   0.1510
1570  -0.0413
1571  -0.0662
1572  -0.1184
1573  -0.2000
1574  -0.1186
1575   0.0031
1576  -0.1133
1577  -0.3660
1578  -0.2661
1579  -0.3230
1580  -0.1366
1581  -0.2234
1582   0.1283
1583  -0.0800
1584  -0.1547
1585  -0.1456
1586  -0.0950
1587  -0.3475
1588  -0.1556
1589  -0.2649
1590  -0.1536
1591  -0.0925
1592  -0.1563
1593  -0.2576
1594  -0.2892
1595  -0.1789
1596  -0.3321
1597  -0.2331
1598  -0.0005
1599   0.0906
1600   0.0039
1601  -0.1681
1602  -0.2606
1603  -0.1677
1604  -0.2679
1605  -0.2026
1606  -0.2711
1607  -0.3052
1608  -0.4414
1609  -0.2428
1610  -0.1620
1611  -0.0918
1612  -0.1781
1613  -0.1073
1614  -0.1292
1615  -0.2998
1616  -0.0381
1617  -0.1161
1618  -0.1775
1619  -0.0793
1620  -0.2464
1621  -0.2149
1622  -0.1242
1623  -0.0722
1624  -0.1214
1625  -0.1354
1626  -0.0886
1627  -0.1693
1628  -0.0930
1629  -0.0401
1630  -0.0260
1631  -0.0896
1632  -0.1108
1633  -0.1285
1634  -0.1435
1635  -0.2016
1636  -0.0576
1637  -0.0523
1638   0.0250
1639  -0.1411
1640  -0.0505
1641  -0.2477
1642  -0.2873
1643  -0.2551
1644  -0.1734
1645  -0.2386
1646  -0.2302
1647  -0.3348
1648  -0.1741
1649  -0.1967
1650  -0.1833
1651  -0.2481
1652  -0.2753
1653  -0.1126
1654  -0.1370
1655  -0.1095
1656  -0.0339
1657  -0.1719
1658  -0.1192
1659  -0.1464
1660  -0.1239
1661  -0.1629
1662  -0.1024
1663  -0.1802
1664  -0.3309
1665  -0.1535
1666  -0.2016
1667  -0.3343
1668  -0.2069
1669  -0.1762
1670  -0.2199
1671  -0.3162
1672  -0.2590
1673  -0.3253
1674  -0.2617
1675  -0.1922
1676  -0.2675
1677  -0.2691
1678  -0.1904
1679  -0.3089
1680  -0.2253
1681  -0.2001
1682  -0.1532
1683  -0.1963
1684  -0.2466
1685  -0.3538
1686  -0.2182
1687  -0.3424
1688  -0.2984
1689  -0.1263
1690  -0.0718
1691  -0.1262
1692  -0.2628
1693  -0.1361
1694  -0.1640
1695  -0.2945
1696  -0.2463
1697  -0.1751
1698  -0.2005
1699  -0.1849
1700  -0.2694
1701  -0.3241
1702  -0.2365
1703  -0.1725
1704  -0.1060
1705  -0.1739
1706  -0.2157
1707  -0.1203
1708  -0.0550
