Year   Temperature
1780  -0.2063238
1781  -0.0587838
1782  -0.2513721
1783  -0.0905152
1784  -0.1280563
1785  -0.2665963
1786  -0.2664933
1787  -0.2622770
1788  -0.1197859
1789  -0.1659465
1790  -0.2649930
1791  -0.0620620
1792  -0.0179937
1793  -0.0781303
1794   0.0274067
1795  -0.1171287
1796  -0.0979712
1797  -0.1918651
1798  -0.0965261
1799  -0.1796103
1800  -0.0672517
1801  -0.0811498
1802  -0.1563394
1803  -0.2219384
1804  -0.0181081
1805  -0.1504558
1806  -0.0313885
1807  -0.1246529
1808  -0.0739394
1809  -0.1596008
1810  -0.1253441
1811  -0.1339152
1812  -0.2323063
1813  -0.2408835
1814  -0.2581966
1815  -0.2512168
1816  -0.3162608
1817  -0.3393341
1818  -0.2476052
1819  -0.3219959
1820  -0.4749938
1821  -0.2402685
1822  -0.2289520
1823  -0.2797960
1824  -0.2514533
1825  -0.1930748
1826  -0.0132464
1827  -0.1594997
1828  -0.1128857
1829  -0.1398086
1830  -0.1600035
1831  -0.1113510
1832  -0.2247232
1833  -0.1456707
1834   0.0712448
1835  -0.3214625
1836  -0.2379811
1837  -0.4027816
1838  -0.4687194
1839  -0.2776812
1840  -0.4187331
1841  -0.2203641
1842  -0.3476468
1843  -0.2489636
1844  -0.2761421
1845  -0.3700984
1846  -0.1538110
1847  -0.2954633
1848  -0.2424179
1849  -0.3312944
1850  -0.2709240
1851  -0.3246104
1852  -0.1827872
1853  -0.2387919
1854  -0.2736646
1855  -0.1778659
1856  -0.1025256
1857  -0.1295226
1858  -0.2690131
1859  -0.1364908
1860  -0.3209267
1861  -0.2083126
1862  -0.2194029
1863  -0.1404665
1864  -0.3961672
1865  -0.1297230
1866  -0.2078098
1867  -0.2072288
1868  -0.1612331
1869  -0.2214320
1870  -0.3655715
1871  -0.3156893
1872  -0.2522238
1873  -0.2047300
1874  -0.2427056
1875  -0.2175404
1876  -0.2463107
1877  -0.0566844
1878  -0.0976056
1879  -0.2789356
1880  -0.2378818
1881  -0.1830842
1882  -0.2228181
1883  -0.2312156
1884  -0.2219804
1885  -0.1688292
1886  -0.0977189
1887  -0.2888796
1888  -0.1578688
1889  -0.1090990
1890  -0.3097275
1891  -0.1645527
1892  -0.3051298
1893  -0.2998038
1894  -0.2100808
1895  -0.1761199
1896  -0.0870348
1897  -0.0328221
1898  -0.2133588
1899  -0.3660894
1900  -0.1355251
1901  -0.1656309
1902  -0.3565934
1903  -0.2431354
1904  -0.3878899
1905  -0.1907354
1906  -0.1408286
1907  -0.3524480
1908  -0.3428202
1909  -0.4004133
1910  -0.2939674
1911  -0.1980227
1912  -0.3357754
1913  -0.2256210
1914  -0.1689968
1915  -0.0917817
1916  -0.2110678
1917  -0.3048670
1918  -0.2232246
1919  -0.0509664
1920  -0.1911395
1921  -0.1625610
1922  -0.2814163
1923  -0.0332105
1924  -0.0568160
1925  -0.1831196
1926   0.1245177
1927  -0.0453132
1928   0.0443267
1929  -0.1600575
1930   0.1571145
1931  -0.0298429
1932   0.0287767
1933  -0.0990988
1934   0.0659869
1935   0.1451244
1936   0.1165271
1937   0.2314941
1938   0.1843729
1939   0.1500212
1940   0.0198899
1941   0.1378855
1942   0.1196136
1943   0.1853547
1944   0.2684764
1945   0.1171960
1946   0.1216328
1947   0.2386108
1948   0.1451054
1949  -0.0117841
1950   0.0606409
1951  -0.0203722
1952   0.1150147
1953   0.0247269
1954   0.0444470
1955   0.0962834
1956  -0.0707089
1957   0.1304427
1958   0.2699186
1959   0.1977765
1960   0.2934224
1961   0.1946281
1962   0.0929889
1963   0.1297539
1964   0.0870467
1965   0.0224945
1966   0.2467340
1967   0.1132477
1968   0.1669724
1969   0.1984625
1970   0.1240112
1971  -0.1156528
1972   0.0574310
1973   0.1363586
1974  -0.0861824
1975   0.0422790
1976   0.0595072
1977   0.1564773
1978   0.0856698
1979   0.2277596
1980   0.0899075
