Year   Temperature
1820  -0.4421636
1821  -0.2107274
1822  -0.2168946
1823  -0.2474477
1824  -0.2692864
1825  -0.2052453
1826  -0.0548532
1827  -0.1489148
1828  -0.1094087
1829  -0.1637807
1830  -0.1403546
1831  -0.1190024
1832  -0.2368277
1833  -0.1191326
1834   0.0638417
1835  -0.3069021
1836  -0.2141422
1837  -0.3697039
1838  -0.4252265
1839  -0.2162018
1840  -0.3749432
1841  -0.1977804
1842  -0.3642168
1843  -0.2447959
1844  -0.2453460
1845  -0.3123991
1846  -0.0881268
1847  -0.2758808
1848  -0.2038024
1849  -0.2972150
1850  -0.2454584
1851  -0.2871574
1852  -0.1357753
1853  -0.2267869
1854  -0.2550712
1855  -0.1700552
1856  -0.0967661
1857  -0.1600564
1858  -0.2573752
1859  -0.1255211
1860  -0.2864194
1861  -0.1946566
1862  -0.1915457
1863  -0.1367022
1864  -0.3886700
1865  -0.1396328
1866  -0.1970367
1867  -0.2028566
1868  -0.1669940
1869  -0.2327673
1870  -0.3898312
1871  -0.3276462
1872  -0.2357605
1873  -0.2087456
1874  -0.2574396
1875  -0.2359947
1876  -0.1891281
1877  -0.0139985
1878  -0.0873480
1879  -0.2959085
1880  -0.2367548
1881  -0.1977376
1882  -0.2035567
1883  -0.2489426
1884  -0.2124676
1885  -0.1895729
1886  -0.1083780
1887  -0.3264943
1888  -0.1693590
1889  -0.1339301
1890  -0.3106586
1891  -0.1754348
1892  -0.3185984
1893  -0.3235842
1894  -0.1970023
1895  -0.1578151
1896  -0.0804484
1897  -0.0536516
1898  -0.2195307
1899  -0.3485892
1900  -0.1252827
1901  -0.1575302
1902  -0.3663333
1903  -0.2350427
1904  -0.3850944
1905  -0.1991955
1906  -0.1296604
1907  -0.3464923
1908  -0.3619747
1909  -0.4111880
1910  -0.2769487
1911  -0.2118404
1912  -0.3256192
1913  -0.2290638
1914  -0.1747661
1915  -0.1071716
1916  -0.1956952
1917  -0.3189316
1918  -0.2134935
1919  -0.0826565
1920  -0.1871199
1921  -0.1561463
1922  -0.2795968
1923  -0.0435300
1924  -0.0679943
1925  -0.1642678
1926   0.1192476
1927  -0.0323715
1928   0.0683044
1929  -0.1697335
1930   0.1527249
1931  -0.0172629
1932   0.0243888
1933  -0.1144546
1934   0.0742866
1935   0.1326570
1936   0.1069506
1937   0.2401706
1938   0.1881548
1939   0.1671797
1940   0.0030006
1941   0.1621687
1942   0.1041220
1943   0.1620405
1944   0.2780561
1945   0.1358824
1946   0.1361695
1947   0.2252086
1948   0.1651252
1949  -0.0042933
1950   0.0566309
1951  -0.0198863
1952   0.0914243
1953   0.0275987
1954   0.0749783
1955   0.1138976
1956  -0.0656929
1957   0.1289460
1958   0.2642649
1959   0.1892212
1960   0.2595679
1961   0.1649680
1962   0.0818349
1963   0.1379396
1964   0.1079217
1965   0.0401977
1966   0.2412938
1967   0.1021834
1968   0.1728355
1969   0.1891640
1970   0.1330777
1971  -0.1076008
1972   0.0387360
1973   0.1062802
1974  -0.1009577
1975   0.0417685
1976   0.0456364
1977   0.1694128
1978   0.0977776
1979   0.2573033
1980   0.1213765
