Year   Temperature
1820  -0.4411836
1821  -0.2491048
1822   0.0263154
1823  -0.2798606
1824  -0.1512894
1825  -0.1073216
1826   0.0453606
1827  -0.1892388
1828  -0.1205012
1829  -0.4015082
1830  -0.1555612
1831  -0.0249498
1832  -0.2379390
1833  -0.1546763
1834   0.2386011
1835  -0.3429558
1836  -0.2857498
1837  -0.5344022
1838  -0.7061173
1839  -0.3645814
1840  -0.5486220
1841  -0.2115662
1842  -0.3831369
1843  -0.2419423
1844  -0.4080004
1845  -0.4192627
1846   0.0079131
1847  -0.2892844
1848  -0.1952879
1849  -0.3574285
1850  -0.3187438
1851  -0.3280294
1852  -0.1577483
1853  -0.3543355
1854  -0.2867116
1855  -0.3981778
1856  -0.2344714
1857  -0.1369314
1858  -0.2546949
1859   0.0330269
1860  -0.4172241
1861  -0.1290582
1862  -0.2929920
1863   0.0070547
1864  -0.5600685
1865  -0.1502755
1866  -0.2051602
1867  -0.3209948
1868  -0.0972463
1869  -0.2524498
1870  -0.5021845
1871  -0.4856031
1872  -0.0662284
1873  -0.1389287
1874  -0.2224540
1875  -0.3902062
1876  -0.2440678
1877  -0.1392786
1878  -0.0655526
1879  -0.4216864
1880  -0.1618716
1881  -0.3565561
1882  -0.1039200
1883  -0.2653073
1884  -0.2673528
1885  -0.3386616
1886  -0.1268427
1887  -0.3891533
1888  -0.4483739
1889  -0.0999364
1890  -0.2357444
1891  -0.2396073
1892  -0.3727864
1893  -0.2990469
1894  -0.0583970
1895  -0.2103659
1896  -0.1235772
1897  -0.0407624
1898  -0.0769418
1899  -0.2643357
1900  -0.0904170
1901  -0.1977937
1902  -0.5269032
1903  -0.1699169
1904  -0.2459626
1905  -0.2888730
1906  -0.0836225
1907  -0.4190400
1908  -0.4255634
1909  -0.5228999
1910  -0.1431433
1911  -0.1150061
1912  -0.4098050
1913  -0.2506217
1914  -0.1662765
1915  -0.2633235
1916  -0.1717269
1917  -0.4392457
1918  -0.2529479
1919  -0.2553151
1920  -0.1192307
1921  -0.0051742
1922  -0.3734552
1923  -0.0992168
1924  -0.1616752
1925  -0.0957521
1926   0.0965210
1927  -0.0206681
1928   0.1227676
1929  -0.2313701
1930   0.2488009
1931  -0.0320098
1932   0.1003561
1933  -0.0276046
1934   0.4222446
1935   0.2620458
1936   0.2064249
1937   0.3478068
1938   0.3927772
1939   0.2320990
1940  -0.2591900
1941  -0.1928708
1942  -0.1517892
1943   0.2394208
1944   0.2399681
1945   0.1857467
1946   0.2083912
1947   0.2452589
1948   0.2978828
1949   0.2493579
1950   0.2645247
1951   0.1194217
1952   0.0938460
1953   0.1954958
1954   0.0929461
1955   0.1103736
1956  -0.1707648
1957   0.1149209
1958   0.2018589
1959   0.3441875
1960   0.3041601
1961   0.3979402
1962  -0.0172857
1963  -0.0508938
1964   0.1051333
1965  -0.1906552
1966   0.1187976
1967   0.1689084
1968   0.0735348
1969  -0.0157810
1970   0.0137346
1971  -0.0438600
1972  -0.0127897
1973   0.1371500
1974   0.1221031
1975   0.2129138
1976   0.0143960
1977   0.1671549
1978  -0.0994732
1979   0.1226063
1980  -0.0722760
